name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
MIUDINA,"MIUDINA,S.L.",,,Tomino,ES,0.75,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"LA MINILLA",EMASESA,,,"Garrobo (El)",ES,2,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"SUROS Y MOLI","JOAQUIM ESCATLLAR S.L.",,,Besalu,ES,0.106,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"TORTOSA ENERGIA","TORTOSA ENERGIA, SA",,,Tortosa,ES,4,"Other or unspecified energy sources",,,2011,,,,,"Other or unspecified energy sources",,,,,SEDE
"LAS QUEBRADAS","HIDRO ENERGIA XANA, S.L.",,,Hellin,ES,2.3,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"CH LA CASETA","ACCIONA SALTOS DE AGUA, SL",,,Oris,ES,0.5,Hydro,,,1993,,,,,"Renewable energy",Hydro,,,,SEDE
"HILATURAS MIEL","HILATURAS MIEL, S.L.",,,Mutxamel,ES,6.32,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"CERAMICA ZAMORA","CERAMICA ZAMORA, S.A.",,,"Talavera de la Reina",ES,0.532,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"ACUARIO ESPAI DE SALUT","ACUARIO ESPAI DE SALUT, S.A.",,,Beniarbeig,ES,0.03,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
ALIER,"ALIER, S.A.",,,Rossello,ES,0.18,Hydro,,,,,,,,"Renewable energy",Hydro,,,,SEDE
"REAL CERAMICA, S.A.U","REAL CERAMICA, S.A.U",,,Chilches/Xilxes,ES,5.76,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
"COGENERACION SERPIS","COGENERACION SERPIS, A.I.E.",,,"Lorcha/Orxa (l)",ES,1.65,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
"PRODUCTOS ULLA","PRODUCTOS ULLA, S.L.",,,Catoira,ES,0.8,Oil,,,,,,,,"Fossil fuels",Oil,,,,SEDE
CERANOR,"CERANOR, S.A.",,,"Valencia de Don Juan",ES,9.87,"Natural gas",,,,,,,,"Fossil fuels","Natural gas",,,,SEDE
