,country,attribute,month,year,data
117,DE,space_SFH,6,2011,4772.344444444445
118,DE,space_SFH,6,2012,7501.7
119,DE,space_SFH,6,2013,7787.898611111111
120,DE,space_SFH,7,2010,1750.4435483870968
121,DE,space_SFH,7,2011,5420.168010752688
122,DE,space_SFH,7,2012,3574.2741935483873
123,DE,space_SFH,7,2013,2028.5524193548388
124,DE,space_SFH,8,2010,4512.442204301075
125,DE,space_SFH,8,2011,3734.5739247311826
126,DE,space_SFH,8,2012,2511.3293010752686
127,DE,space_SFH,8,2013,3064.8991935483873
128,DE,space_SFH,9,2010,14907.93611111111
129,DE,space_SFH,9,2011,7800.506944444444
130,DE,space_SFH,9,2012,11823.379166666668
131,DE,space_SFH,9,2013,12938.856944444444
132,DE,space_SFH,10,2010,32704.579301075268
133,DE,space_SFH,10,2011,28901.91129032258
134,DE,space_SFH,10,2012,30039.31317204301
135,DE,space_SFH,10,2013,22033.415322580644
136,DE,space_SFH,11,2010,45911.66527777778
137,DE,space_SFH,11,2011,49573.98333333333
138,DE,space_SFH,11,2012,45476.88611111111
139,DE,space_SFH,11,2013,48857.308333333334
140,DE,space_SFH,12,2010,83285.66935483871
141,DE,space_SFH,12,2011,53740.466397849465
142,DE,space_SFH,12,2012,61796.146505376346
143,DE,space_SFH,12,2013,53761.966397849465
144,FR,space_COM,1,2010,31355.11827956989
145,FR,space_COM,1,2011,26078.537634408603
146,FR,space_COM,1,2012,21757.86827956989
147,FR,space_COM,1,2013,25686.712365591397
148,FR,space_COM,2,2010,26664.64136904762
149,FR,space_COM,2,2011,22621.25
150,FR,space_COM,2,2012,33097.275862068964
151,FR,space_COM,2,2013,27950.51785714286
152,FR,space_COM,3,2010,19173.564516129034
153,FR,space_COM,3,2011,16974.325268817203
154,FR,space_COM,3,2012,13651.864247311827
155,FR,space_COM,3,2013,21817.530913978495
156,FR,space_COM,4,2010,10283.445833333333
157,FR,space_COM,4,2011,5413.352777777778
158,FR,space_COM,4,2012,13697.068055555555
159,FR,space_COM,4,2013,12612.454166666666
160,FR,space_COM,5,2010,7363.2231182795695
161,FR,space_COM,5,2011,2560.157258064516
162,FR,space_COM,5,2012,4346.23252688172
163,FR,space_COM,5,2013,8055.362903225807
164,FR,space_COM,6,2010,1597.4416666666666
165,FR,space_COM,6,2011,1655.8291666666667
166,FR,space_COM,6,2012,1557.0222222222221
167,FR,space_COM,6,2013,2095.758333333333
168,FR,space_COM,7,2010,486.5
169,FR,space_COM,7,2011,1316.3844086021506
170,FR,space_COM,7,2012,973.3548387096774
171,FR,space_COM,7,2013,472.77150537634407
172,FR,space_COM,8,2010,1012.2405913978495
173,FR,space_COM,8,2011,938.9556451612904
174,FR,space_COM,8,2012,604.760752688172
175,FR,space_COM,8,2013,755.375
176,FR,space_COM,9,2010,3193.1444444444446
177,FR,space_COM,9,2011,1557.8763888888889
178,FR,space_COM,9,2012,2710.9972222222223
179,FR,space_COM,9,2013,2084.5694444444443
180,FR,space_COM,10,2010,9628.731182795698
181,FR,space_COM,10,2011,6919.284946236559
182,FR,space_COM,10,2012,7245.764784946236
183,FR,space_COM,10,2013,4700.543010752688
184,FR,space_COM,11,2010,17536.108333333334
185,FR,space_COM,11,2011,12832.230555555556
186,FR,space_COM,11,2012,16185.344444444445
187,FR,space_COM,11,2013,17631.075
188,FR,space_COM,12,2010,31364.861559139787
189,FR,space_COM,12,2011,19358.149193548386
190,FR,space_COM,12,2012,21488.59005376344
191,FR,space_COM,12,2013,21487.020161290322
192,FR,space_MFH,1,2010,23343.61827956989
193,FR,space_MFH,1,2011,20987.239247311827
194,FR,space_MFH,1,2012,18141.994623655915
195,FR,space_MFH,1,2013,20932.842741935485
196,FR,space_MFH,2,2010,20324.770833333332
197,FR,space_MFH,2,2011,18702.894345238095
198,FR,space_MFH,2,2012,25532.498563218393
199,FR,space_MFH,2,2013,22477.5
200,FR,space_MFH,3,2010,15511.086021505376
201,FR,space_MFH,3,2011,14891.345430107527
202,FR,space_MFH,3,2012,12601.850806451614
203,FR,space_MFH,3,2013,18355.9314516129
204,FR,space_MFH,4,2010,9593.2875
205,FR,space_MFH,4,2011,6354.405555555555
206,FR,space_MFH,4,2012,12646.852777777778
207,FR,space_MFH,4,2013,11808.27638888889
208,FR,space_MFH,5,2010,7248.278225806452
209,FR,space_MFH,5,2011,3541.805107526882
210,FR,space_MFH,5,2012,5089.676075268817
211,FR,space_MFH,5,2013,8652.444892473119
212,FR,space_MFH,6,2010,2141.733333333333
213,FR,space_MFH,6,2011,2409.211111111111
214,FR,space_MFH,6,2012,2331.0930555555556
215,FR,space_MFH,6,2013,3034.688888888889
216,FR,space_MFH,7,2010,644.3077956989247
217,FR,space_MFH,7,2011,1892.1532258064517
218,FR,space_MFH,7,2012,1393.5551075268818
219,FR,space_MFH,7,2013,677.7352150537635
220,FR,space_MFH,8,2010,1345.518817204301
221,FR,space_MFH,8,2011,1348.4556451612902
222,FR,space_MFH,8,2012,825.8077956989247
223,FR,space_MFH,8,2013,1038.3293010752689
224,FR,space_MFH,9,2010,3851.4527777777776
225,FR,space_MFH,9,2011,2211.070833333333
226,FR,space_MFH,9,2012,3635.2347222222224
227,FR,space_MFH,9,2013,2964.0625
228,FR,space_MFH,10,2010,8848.84005376344
229,FR,space_MFH,10,2011,7325.737903225807
230,FR,space_MFH,10,2012,7502.2970430107525
231,FR,space_MFH,10,2013,5404.741935483871
232,FR,space_MFH,11,2010,14419.65
233,FR,space_MFH,11,2011,11975.058333333332
234,FR,space_MFH,11,2012,14377.459722222222
235,FR,space_MFH,11,2013,15460.538888888888
236,FR,space_MFH,12,2010,23254.733870967742
237,FR,space_MFH,12,2011,16584.02688172043
238,FR,space_MFH,12,2012,17993.538978494624
239,FR,space_MFH,12,2013,18219.814516129034
240,FR,space_SFH,1,2010,57405.79569892473
241,FR,space_SFH,1,2011,52374.00806451613
242,FR,space_SFH,1,2012,43574.533602150535
243,FR,space_SFH,1,2013,51071.17204301075
244,FR,space_SFH,2,2010,49133.91071428572
245,FR,space_SFH,2,2011,45746.142857142855
246,FR,space_SFH,2,2012,64746.92672413793
247,FR,space_SFH,2,2013,55276.388392857145
248,FR,space_SFH,3,2010,36263.31048387097
249,FR,space_SFH,3,2011,35345.2876344086
250,FR,space_SFH,3,2012,28728.795698924732
251,FR,space_SFH,3,2013,43949.969086021505
252,FR,space_SFH,4,2010,20899.541666666668
253,FR,space_SFH,4,2011,13293.994444444445
254,FR,space_SFH,4,2012,28808.73611111111
255,FR,space_SFH,4,2013,26733.591666666667
256,FR,space_SFH,5,2010,15429.131720430107
257,FR,space_SFH,5,2011,6972.836021505376
258,FR,space_SFH,5,2012,10514.99059139785
259,FR,space_SFH,5,2013,18494.524193548386
260,FR,space_SFH,6,2010,4059.766666666667
261,FR,space_SFH,6,2011,4670.397222222222
262,FR,space_SFH,6,2012,4369.122222222222
263,FR,space_SFH,6,2013,5739.819444444444
264,FR,space_SFH,7,2010,1330.361559139785
265,FR,space_SFH,7,2011,3666.5564516129034
